64437,97342,14852,84393,71091,98583,15182,537,92370,51253
48475,61161,19582,22621,29906,20615,96502,2864,62613,41099
24268,985,40851,3594,26918,48021,11540,98429,83333,63785
57825,26711,31017,53128,74878,42528,82764,46738,51204,57488
95283,56304,7946,29607,87046,10690,11169,60201,15189,86647
48648,2495,67677,36305,88213,13368,41593,1269,83703,86432
62916,41591,45262,28295,66110,52613,33584,58930,75611,28562
62226,17663,30324,42346,34910,76994,4551,23525,52558,69036
74090,78533,22751,68509,46996,45088,93034,42597,95614,83662
62277,41390,31709,43810,36248,60117,30681,34961,9407,53929
49012,81510,87568,68607,53112,28010,54926,96203,54650,9583
99897,67786,50608,33063,27554,92368,6226,64862,91976,91202
24741,68530,20418,97781,49048,60626,56796,92839,363,35725
34116,66641,47193,22239,90074,57379,43541,41168,65999,52053
37092,92480,34341,63815,128,2375,12724,97805,18906,9139
85766,66551,43348,47174,42201,65125,57652,76944,22227,66279
15759,39963,68593,19094,4192,78305,40138,95019,2245,92729
59540,75246,15773,63019,99025,18791,23070,57439,14373,15752
90491,41957,97515,5793,59032,14168,66902,35701,57178,20442
54133,78208,97250,26064,99062,28956,33145,42470,78231,99089
57580,8251,78145,35282,25938,7488,91458,22893,589,44189
15005,28801,56825,19406,82138,30882,75219,65978,8097,64186
60022,2363,90474,45362,49181,56407,43737,56634,32091,53701
40575,42119,57988,53657,52255,70564,64639,12394,64377,36219
37796,35180,4985,24696,28990,94416,45242,88745,80118,83065
95592,16729,36301,26139,60093,3814,78978,74305,31181,27614
90714,14395,15363,59132,72851,54176,93341,35941,40565,52119
11855,62589,30326,54371,57969,77123,64964,81317,64534,2813
55574,25196,82399,51316,47873,7381,52290,26756,33889,60627
22630,54982,86320,20259,13791,74947,41934,10986,14105,24337
41196,75378,21356,8622,82450,66707,41915,75809,98949,96375
1415,65026,71671,20644,17423,25770,52949,53561,13188,78456
50660,86510,99483,93882,74672,75376,39135,68746,10970,5843
13331,67562,43895,31039,89907,82260,81408,64700,25441,60555
84739,53625,3985,27867,30473,58777,69876,35876,41532,9000
93617,33560,89039,26958,85996,3302,23291,58566,53997,10957
66703,97701,74042,72125,54441,45246,62674,55110,47910,85942
453,18936,92706,21157,14767,45779,297,6014,56800,74124
12951,31578,36930,24756,72590,21291,26061,72440,99513,97174
17708,12845,8014,209,68305,19123,68055,35895,62205,37509
69397,82941,52843,77165,14166,98105,83430,98011,52801,35823
60569,714,25379,11577,25506,48869,50672,12752,63191,6020
66471,45612,36190,81686,4551,63802,5151,31661,13138,449
20680,27567,87913,23771,36684,49189,69154,37673,78553,16010
49891,52036,87467,4329,94464,66347,73074,23998,2691,62858
18306,94558,20046,71055,83475,77682,85244,28233,7162,42662
38098,50606,39705,408,17967,1090,22501,44466,43521,55876
